127.0.0.1 - - [22/Apr/2016:00:01:22 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Apr/2016:00:02:37 +0530] "GET /ManageUser/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.2 HTTP/1.1" 200 240240
0:0:0:0:0:0:0:1 - - [22/Apr/2016:00:02:37 +0530] "GET /ManageUser/faces/javax.faces.resource/md5.js?ln=js HTTP/1.1" 200 7071
0:0:0:0:0:0:0:1 - - [22/Apr/2016:00:02:37 +0530] "GET /ManageUser/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=5.2 HTTP/1.1" 200 87647
0:0:0:0:0:0:0:1 - - [22/Apr/2016:00:02:37 +0530] "GET /ManageUser/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.2 HTTP/1.1" 200 63514
0:0:0:0:0:0:0:1 - - [22/Apr/2016:00:02:37 +0530] "GET /ManageUser/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.2 HTTP/1.1" 200 340589
0:0:0:0:0:0:0:1 - - [22/Apr/2016:00:02:38 +0530] "GET /ManageUser/faces/javax.faces.resource/images/ui-icons_2694e8_256x240.png?ln=primefaces-cupertino HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [22/Apr/2016:00:02:45 +0530] "GET /ManageUser/faces/javax.faces.resource/images/ui-bg_glass_50_3baae3_1x400.png?ln=primefaces-cupertino HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [22/Apr/2016:00:02:45 +0530] "POST /ManageUser/faces/login.xhtml HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [22/Apr/2016:00:02:45 +0530] "GET /ManageUser/faces/user/userhome.xhtml HTTP/1.1" 200 6595
0:0:0:0:0:0:0:1 - - [22/Apr/2016:00:02:50 +0530] "POST /ManageUser/faces/user/userhome.xhtml HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [22/Apr/2016:00:02:50 +0530] "GET /ManageUser/faces/index.xhtml HTTP/1.1" 200 8247
